age,height_cm,weight_kg,overall,potential,value_eur,wage_eur,skill_moves
33,170,72,93,93,67500000,560000,4
35,187,83,92,92,46000000,220000,5
27,188,87,91,93,75000000,125000,1
31,184,80,91,91,80000000,240000,4
28,175,68,91,91,90000000,270000,5
29,181,70,91,91,87000000,370000,4
21,178,73,90,95,105500000,160000,5
28,187,85,90,93,69500000,260000,1
28,193,92,90,91,75500000,210000,2
27,191,91,90,91,62500000,160000,1
28,175,69,90,90,78000000,250000,4
28,175,71,90,90,78000000,250000,4
28,199,96,89,90,56000000,250000,1
32,173,70,89,89,53000000,300000,4
34,184,82,89,89,24500000,300000,3
32,185,81,89,89,53000000,350000,4
34,193,92,89,89,29000000,125000,1
28,185,84,89,89,59500000,310000,2
26,188,86,88,91,53500000,195000,1
25,170,69,88,90,72500000,270000,4
25,176,73,88,90,65000000,145000,3
26,188,89,88,89,71000000,220000,3
26,177,75,88,89,71000000,190000,4
35,193,92,88,88,16000000,100000,1
30,183,76,88,88,55000000,310000,3
29,175,74,88,88,58000000,350000,4
29,187,89,88,88,50000000,140000,2
29,168,70,88,88,51000000,190000,2
20,180,76,87,93,69500000,82000,5
21,180,69,87,92,60000000,110000,3
25,179,69,87,90,63000000,195000,4
26,189,85,87,90,56000000,200000,2
26,188,78,87,89,54500000,155000,3
26,178,64,87,89,53000000,155000,3
25,173,64,87,88,60000000,230000,4
35,187,85,87,87,15500000,94000,2
33,188,82,87,87,27000000,125000,1
33,182,86,87,87,31500000,280000,3
34,172,66,87,87,24500000,260000,4
32,180,69,87,87,39000000,160000,5
30,195,90,87,87,34000000,105000,1
31,187,80,87,87,45000000,170000,4
31,189,76,87,87,38000000,240000,3
30,185,85,87,87,48500000,125000,3
33,185,80,87,87,27000000,110000,1
29,176,73,87,87,50500000,290000,4
27,183,78,87,87,52500000,165000,4
28,181,76,87,87,52000000,190000,5
27,191,81,86,88,46500000,220000,2
27,191,84,86,87,50000000,190000,5
27,165,60,86,87,50000000,135000,4
32,167,68,86,86,34500000,100000,4
33,194,85,86,86,21000000,220000,2
34,173,67,86,86,22500000,58000,4
31,183,79,86,86,28500000,55000,1
31,191,94,86,86,33000000,93000,3
30,182,80,86,86,36500000,140000,3
31,170,68,86,86,32000000,220000,3
30,186,75,86,86,42000000,130000,3
29,192,82,86,86,31500000,150000,1
28,173,73,86,86,38000000,230000,3
33,179,74,86,86,28000000,160000,3
21,188,83,85,93,57000000,105000,4
21,196,90,85,92,41500000,34000,1
20,189,89,85,92,49500000,80000,2
22,186,70,85,91,53000000,150000,5
24,183,75,85,90,51500000,100000,4
23,180,74,85,90,50500000,190000,4
26,183,75,85,89,44000000,115000,3
25,186,81,85,89,44500000,190000,2
25,191,76,85,89,49000000,94000,4
25,188,80,85,89,44500000,130000,2
26,176,78,85,88,48500000,115000,5
24,180,76,85,88,49500000,135000,3
24,191,82,85,88,44000000,145000,3
28,190,82,85,87,33500000,105000,1
24,175,75,85,87,47500000,100000,4
26,175,70,85,87,40500000,120000,3
27,191,94,85,86,45000000,165000,3
27,183,74,85,86,44000000,99000,4
27,181,75,85,86,45000000,135000,3
27,181,65,85,86,44000000,140000,5
35,183,79,85,85,11500000,93000,2
33,169,61,85,85,24000000,115000,4
30,178,72,85,85,35500000,220000,3
29,175,69,85,85,37000000,150000,4
34,187,78,85,85,14500000,135000,2
31,186,81,85,85,28500000,130000,2
33,190,85,85,85,18000000,110000,2
30,191,86,85,85,26000000,65000,1
31,180,71,85,85,34000000,94000,4
30,183,70,85,85,30500000,170000,3
29,174,70,85,85,37000000,150000,5
31,182,74,85,85,33000000,59000,3
28,181,76,85,85,39000000,155000,4
29,180,80,85,85,31500000,120000,3
28,176,77,85,85,38000000,92000,3
29,163,59,85,85,37500000,120000,4
29,179,67,85,85,37500000,210000,5
19,194,88,84,92,45000000,56000,3
22,174,81,84,91,44500000,130000,4
23,181,79,84,90,42500000,47000,3
24,195,97,84,89,37500000,84000,2
23,171,73,84,89,41000000,98000,4
25,189,76,84,88,39500000,105000,3
24,171,69,84,88,35500000,20000,3
24,184,76,84,88,41000000,155000,4
24,185,83,84,88,40500000,75000,4
24,179,75,84,88,40500000,94000,4
25,185,80,84,88,36000000,70000,2
24,190,93,84,88,30000000,18000,1
23,183,74,84,88,36500000,96000,3
25,184,76,84,87,38500000,77000,3
29,187,85,84,85,25000000,67000,1
28,189,78,84,85,30500000,130000,2
26,178,74,84,85,31500000,110000,3
26,170,71,84,85,36500000,86000,4
27,185,77,84,85,35000000,81000,3
27,181,71,84,85,31000000,23000,3
27,181,68,84,85,32000000,125000,3
35,179,67,84,84,9500000,110000,3
34,172,60,84,84,11000000,43000,4
33,189,89,84,84,17000000,90000,1
33,192,80,84,84,17000000,54000,1
33,179,78,84,84,15000000,83000,3
31,186,81,84,84,23500000,79000,4
32,190,84,84,84,19000000,90000,1
30,178,77,84,84,24500000,120000,2
29,172,70,84,84,30500000,120000,5
32,176,67,84,84,25000000,46000,3
27,173,62,84,84,32500000,25000,4
30,174,66,84,84,25500000,105000,3
28,180,78,84,84,27500000,105000,3
28,176,79,84,84,31500000,210000,4
30,177,72,84,84,29500000,25000,3
29,170,68,84,84,31000000,91000,4
32,190,79,84,84,25000000,92000,4
29,188,81,84,84,31000000,140000,3
31,190,83,84,84,23000000,74000,2
27,172,65,84,84,27500000,27000,3
21,182,78,83,90,36000000,135000,3
21,178,68,83,89,36000000,135000,5
23,178,67,83,89,35500000,175000,5
25,172,66,83,88,30500000,46000,4
25,193,78,83,88,25500000,57000,1
25,189,77,83,88,25500000,52000,1
23,188,77,83,88,31000000,93000,3
22,178,78,83,88,34500000,105000,4
25,180,73,83,88,30500000,160000,4
22,183,72,83,88,30500000,115000,4
21,181,73,83,88,35000000,92000,3
25,188,78,83,87,30000000,51000,2
24,188,80,83,87,34000000,105000,4
23,184,74,83,87,33000000,125000,3
23,190,80,83,87,30500000,45000,3
23,175,73,83,87,34500000,150000,4
26,182,75,83,86,28500000,170000,2
26,176,80,83,86,31500000,120000,4
26,182,74,83,86,28000000,140000,4
26,177,67,83,86,28000000,170000,4
28,197,86,83,85,22500000,53000,1
29,184,81,83,85,22000000,69000,1
26,178,76,83,85,31000000,73000,3
27,185,86,83,85,27000000,39000,3
29,189,83,83,84,24500000,84000,2
28,194,90,83,84,25500000,115000,2
27,170,67,83,84,25500000,95000,4
26,173,75,83,84,30500000,38000,4
38,195,95,83,83,9500000,49000,5
33,170,61,83,83,15000000,110000,3
35,185,82,83,83,7000000,28000,1
32,186,89,83,83,20500000,17000,3
32,186,86,83,83,19500000,33000,4
31,177,77,83,83,22500000,17000,4
33,180,75,83,83,12500000,14000,2
33,189,86,83,83,12000000,21000,3
30,185,82,83,83,24500000,130000,4
32,174,75,83,83,16000000,170000,5
